square_feet,bedrooms,bathrooms,year_built,house_price
2184,3,4.0,1982,446400.0
2059,3,2.0,2003,424900.0
3153,2,1.5,1989,492800.0
2716,5,3.5,2009,559100.0
2335,2,3.0,1985,429500.0
2263,4,1.5,2004,458800.0
3231,3,3.0,1984,538100.0
2883,4,3.5,2018,564800.0
2533,3,2.5,1989,465800.0
3247,5,1.5,2018,591200.0
1777,3,3.0,2005,413700.0
3278,4,1.5,1985,541300.0
3328,4,2.0,2002,570800.0
2099,5,2.0,2018,483900.0
2594,5,1.5,1993,500900.0
2996,5,2.0,1993,548600.0
2100,3,1.0,2014,425000.0
2920,4,1.5,2007,527500.0
1814,5,3.0,1989,441400.0
2205,5,2.5,1981,465000.0
3010,3,4.0,1981,528000.0
2051,5,2.0,2007,468100.0
1587,3,2.5,1995,377200.0
1674,3,3.5,1997,402900.0
3124,2,1.0,1995,488400.0
2349,3,2.0,1984,434900.0
3201,3,2.5,1998,541600.0
2037,4,4.0,2000,469700.0
2345,5,2.0,2021,511500.0
1572,5,2.5,1994,414700.0
2277,5,2.0,2021,504700.0
3440,4,3.5,1982,584500.0
1615,5,4.0,1988,435500.0
2476,2,3.0,1986,444600.0
2255,3,2.0,1988,429500.0
3233,4,3.0,1991,565300.0
3371,2,3.0,2009,557100.0
2955,5,3.0,2011,577500.0
1948,5,2.5,1999,457300.0
2350,2,3.0,2011,457000.0
1599,3,1.5,2017,385400.0
2701,2,3.5,2003,491600.0
2255,4,3.0,1987,463500.0
2297,5,1.0,2003,473700.0
2159,3,1.0,1986,402900.0
2671,2,3.5,2009,494600.0
2410,2,3.0,1999,451000.0
1923,2,2.0,1992,380300.0
2812,5,1.0,2002,524200.0
3485,5,2.5,2005,617000.0
2789,4,1.5,2000,507400.0
2197,3,1.0,1987,407700.0
2139,5,4.0,2004,503900.0
2044,4,3.0,1991,446400.0
2043,3,2.5,2019,446800.0
2214,5,3.5,1990,489900.0
1744,5,2.5,2018,455900.0
1651,4,2.0,2013,414100.0
2175,3,3.0,2013,461500.0
2010,4,3.0,2014,466000.0
2983,2,2.5,1995,496800.0
2382,3,3.0,1993,462200.0
2707,2,3.5,1994,483200.0
1528,3,3.5,1997,388300.0
2302,3,2.0,2003,449200.0
1628,4,2.5,2018,424300.0
1628,4,2.0,2016,414800.0
3456,4,3.0,1984,580600.0
2577,4,1.5,1992,478200.0
3425,5,2.0,2016,614500.0
3074,4,2.0,2009,552400.0
3012,3,2.0,2002,519200.0
2256,2,1.5,2001,415100.0
1773,3,3.5,2021,436800.0
1835,4,2.0,2016,435500.0
1888,2,1.0,2015,384800.0
3141,5,3.0,2017,602100.0
2566,3,2.0,1985,457600.0
2966,5,3.5,1988,563100.0
2043,4,3.0,1993,448300.0
2388,4,2.0,2011,485800.0
1757,3,1.5,2007,391200.0
2845,4,2.5,2017,545000.0
3461,4,2.5,2016,605600.0
1557,3,1.5,2001,365200.0
1791,5,4.0,1993,458100.0
3394,5,3.0,2007,617400.0
2643,2,2.0,1995,455300.0
2279,4,1.5,2021,477400.0
1930,5,1.5,1991,432500.0
2606,2,2.0,2017,473600.0
1591,4,2.0,2020,415100.0
3420,2,3.0,1986,539000.0
1898,4,3.5,1990,438300.0
2111,2,1.5,2015,414600.0
3089,3,3.0,1980,519900.0
2408,2,2.0,1999,435800.0
2133,2,3.0,2017,441300.0
3462,5,3.5,2021,645700.0
1584,4,2.5,2012,413900.0
1703,4,2.0,2017,423300.0
1824,2,1.5,1991,361900.0
2274,3,3.5,2020,485900.0
2464,5,2.5,2009,518900.0
2571,5,4.0,1996,539100.0
2139,5,2.0,1998,467900.0
2655,5,3.0,1985,521500.0
2472,2,2.0,1997,440200.0
2368,2,3.5,2014,469300.0
2704,3,1.5,1999,477900.0
3370,3,2.0,2001,554000.0
2667,4,3.0,1984,501700.0
3184,4,2.5,1987,548900.0
2751,4,3.0,1990,516100.0
2454,4,3.5,1999,502900.0
2291,3,3.0,1990,450100.0
2219,4,4.0,2012,499900.0
2409,5,3.5,2021,540400.0
1873,2,2.5,2021,411800.0
